date,container_cluster_name,k8's_appid,unblended_cost,
2024-06-01,(not set),(not set),772669.5505072688,
2024-06-10,(not set),(not set),414164.34005170566,
2024-06-07,(not set),(not set),303641.04253596225,
2024-06-06,(not set),(not set),293666.39620363124,
2024-06-13,(not set),(not set),273334.80690732755,
2024-06-04,(not set),(not set),271777.8807349947,
2024-06-26,(not set),(not set),270067.7997845035,
2024-06-05,(not set),(not set),269916.62955838704,
2024-06-25,(not set),(not set),267051.4778141373,
2024-06-12,(not set),(not set),266388.851103255,
2024-06-18,(not set),(not set),266111.7398217304,
2024-06-11,(not set),(not set),265950.3504316818,
2024-06-03,(not set),(not set),265496.92698092136,
2024-06-14,(not set),(not set),264594.9190133195,
2024-06-27,(not set),(not set),263678.9465300066,
2024-06-20,(not set),(not set),259666.0806270544,
2024-06-24,(not set),(not set),259221.03571875882,
2024-06-21,(not set),(not set),258794.20344985835,
2024-06-19,(not set),(not set),258482.76923673897,
2024-06-28,(not set),(not set),258464.7385952056,
2024-06-17,(not set),(not set),255672.6831915873,
2024-06-15,(not set),(not set),225881.7942547857,
2024-06-08,(not set),(not set),224827.33787054755,
2024-06-29,(not set),(not set),222839.8552570485,
2024-06-22,(not set),(not set),221662.4103972479,
2024-06-02,(not set),(not set),220978.87360544092,
2024-06-09,(not set),(not set),217425.4776544894,
2024-06-16,(not set),(not set),214997.47517960577,
2024-06-30,(not set),(not set),214595.17511510823,
2024-06-23,(not set),(not set),211450.82220623034,
2024-06-29,MIInternal-EKSCluster-PRD,(not set),1076.2179754981998,
2024-06-30,MIInternal-EKSCluster-PRD,(not set),1006.4501906054784,
2024-06-26,MIInternal-EKSCluster-PRD,(not set),975.5888421468102,
2024-06-24,MIInternal-EKSCluster-PRD,(not set),968.2271264159372,
2024-06-28,MIInternal-EKSCluster-PRD,(not set),968.1426745509267,
2024-06-27,MIInternal-EKSCluster-PRD,(not set),967.0479513763879,
2024-06-25,MIInternal-EKSCluster-PRD,(not set),962.828872561301,
2024-06-19,MIInternal-EKSCluster-PRD,(not set),954.0601544019239,
2024-06-20,MIInternal-EKSCluster-PRD,(not set),950.7793351570278,
2024-06-21,MIInternal-EKSCluster-PRD,(not set),938.680394650728,
2024-06-22,MIInternal-EKSCluster-PRD,(not set),934.704803681711,
2024-06-23,MIInternal-EKSCluster-PRD,(not set),930.0041914394926,
2024-06-16,MIPlatform-EKSCluster-PRD,(not set),914.2231280933165,
2024-06-26,MIPlatform-EKSCluster-PRD,(not set),910.949088198001,
2024-06-27,MIPlatform-EKSCluster-PRD,(not set),907.1342536179743,
2024-06-02,MIInternal-EKSCluster-PRD,(not set),896.8360383402329,
2024-06-17,MIPlatform-EKSCluster-PRD,(not set),896.7247352114084,
2024-06-23,MIPlatform-EKSCluster-PRD,(not set),895.270822638823,
2024-06-03,MIInternal-EKSCluster-PRD,(not set),894.3190910379625,
2024-06-05,MIInternal-EKSCluster-PRD,(not set),894.068757472103,
2024-06-18,MIPlatform-EKSCluster-PRD,(not set),892.7404747048457,
2024-06-07,MIInternal-EKSCluster-PRD,(not set),891.9808776704517,
2024-06-28,MIPlatform-EKSCluster-PRD,(not set),891.9471834408115,
2024-06-01,MIInternal-EKSCluster-PRD,(not set),890.2210341044921,
2024-06-04,MIInternal-EKSCluster-PRD,(not set),884.6621205080218,
2024-06-24,MIPlatform-EKSCluster-PRD,(not set),882.9799180791465,
2024-06-19,MIPlatform-EKSCluster-PRD,(not set),882.909272852916,
2024-06-18,MIInternal-EKSCluster-PRD,(not set),881.8466706569286,
2024-06-06,MIInternal-EKSCluster-PRD,(not set),875.9038006308224,
2024-06-25,MIPlatform-EKSCluster-PRD,(not set),875.5349850186932,
2024-06-17,MIInternal-EKSCluster-PRD,(not set),874.8312272484841,
2024-06-16,MIInternal-EKSCluster-PRD,(not set),869.6008755476533,
2024-06-29,MIPlatform-EKSCluster-PRD,(not set),867.8900517734862,
2024-06-02,MIInternal-EKSCluster-DEV,(not set),866.2335982995972,
2024-06-30,MIPlatform-EKSCluster-PRD,(not set),864.7716139068768,
2024-06-20,MIPlatform-EKSCluster-PRD,(not set),860.6396109389392,
2024-06-22,MIPlatform-EKSCluster-PRD,(not set),860.635710705001,
2024-06-21,MIPlatform-EKSCluster-PRD,(not set),860.1664289685799,
2024-06-14,MIInternal-EKSCluster-PRD,(not set),859.8922131331774,
2024-06-15,MIInternal-EKSCluster-PRD,(not set),859.1667035450438,
2024-06-10,MIInternal-EKSCluster-PRD,(not set),850.7269060992636,
2024-06-01,MIInternal-EKSCluster-DEV,(not set),850.4702777327038,
2024-06-08,MIInternal-EKSCluster-PRD,(not set),843.8598986522309,
2024-06-05,MIInternal-EKSCluster-DEV,(not set),842.7970918506759,
2024-06-03,MIInternal-EKSCluster-DEV,(not set),838.5956896464616,
2024-06-09,MIInternal-EKSCluster-PRD,(not set),836.4449346327627,
2024-06-04,MIInternal-EKSCluster-DEV,(not set),829.1834579954686,
2024-06-11,MIInternal-EKSCluster-PRD,(not set),825.0297886142224,
2024-06-06,MIInternal-EKSCluster-DEV,(not set),824.0438578472227,
2024-06-13,MIInternal-EKSCluster-PRD,(not set),817.5151308253313,
2024-06-07,MIInternal-EKSCluster-DEV,(not set),810.9758476530105,
2024-06-12,MIInternal-EKSCluster-PRD,(not set),808.6882963444106,
2024-06-08,MIInternal-EKSCluster-DEV,(not set),801.363035499755,
2024-06-09,MIInternal-EKSCluster-DEV,(not set),797.545650861524,
2024-06-10,MIInternal-EKSCluster-DEV,(not set),791.8371534127778,
2024-06-29,MIInternal-EKSCluster-DEV,(not set),791.306714295476,
2024-06-28,MIInternal-EKSCluster-DEV,(not set),790.834859467916,
2024-06-15,MIInternal-EKSCluster-DEV,(not set),789.5377563159316,
2024-06-30,MIInternal-EKSCluster-DEV,(not set),787.9160409681385,
2024-06-27,MIInternal-EKSCluster-DEV,(not set),786.8358614563739,
2024-06-14,MIInternal-EKSCluster-DEV,(not set),776.751237363557,
2024-06-15,MIPlatform-EKSCluster-PRD,(not set),775.8790825308814,
2024-06-23,MIInternal-EKSCluster-DEV,(not set),766.395597374753,
2024-06-11,MIInternal-EKSCluster-DEV,(not set),766.32952725811,
2024-06-16,MIInternal-EKSCluster-DEV,(not set),763.6716498386298,
