Date,Transaction_Owner,Transaction_ID,Cost_Per_Day
6/1/2024,Owner-A1,TID-A324,772669.5505072688
6/10/2024,Owner-A1,TID-A324,414164.34005170566
6/7/2024,Owner-A1,TID-A324,303641.04253596225
6/6/2024,Owner-A1,TID-A324,293666.39620363124
6/13/2024,Owner-A1,TID-A324,273334.80690732755
6/4/2024,Owner-A1,TID-A324,271777.8807349947
6/26/2024,Owner-A1,TID-A324,270067.7997845035
6/5/2024,Owner-A1,TID-A324,269916.62955838704
6/25/2024,Owner-A1,TID-A324,267051.4778141373
6/12/2024,Owner-A1,TID-A324,266388.8511
6/18/2024,Owner-A1,TID-A324,266111.7398217304
6/11/2024,Owner-A1,TID-A324,265950.3504316818
6/3/2024,Owner-A1,TID-A324,265496.92698092136
6/14/2024,Owner-A1,TID-A324,264594.9190133195
6/27/2024,Owner-A1,TID-A324,263678.9465300066
6/20/2024,Owner-A1,TID-A324,259666.0806270544
6/24/2024,Owner-A1,TID-A324,259221.03571875882
6/21/2024,Owner-A1,TID-A324,258794.20344985835
6/19/2024,Owner-A1,TID-A324,258482.76923673897
6/28/2024,Owner-A1,TID-A324,258464.7385952056
6/17/2024,Owner-A1,TID-A324,255672.6831915873
6/15/2024,Owner-A1,TID-A324,225881.7942547857
6/8/2024,Owner-A1,TID-A324,224827.33787054755
6/29/2024,Owner-A1,TID-A324,222839.8552570485
6/22/2024,Owner-A1,TID-A324,221662.4103972479
6/2/2024,Owner-A1,TID-A324,220978.87360544092
6/9/2024,Owner-A1,TID-A324,217425.4776544894
6/16/2024,Owner-A1,TID-A324,214997.47517960577
6/30/2024,Owner-A1,TID-A324,214595.17511510823
6/23/2024,Owner-A1,TID-A324,211450.82220623034
6/29/2024,Owner-A2,TID-A324,1076.2179754981998
6/30/2024,Owner-A2,TID-A324,1006.4501906054784
6/26/2024,Owner-A2,TID-A324,975.5888421468102
6/24/2024,Owner-A2,TID-A324,968.2271264159372
6/28/2024,Owner-A2,TID-A324,968.1426745509267
6/27/2024,Owner-A2,TID-A324,967.0479513763879
6/25/2024,Owner-A2,TID-A324,962.8288726
6/19/2024,Owner-A2,TID-A324,954.0601544019239
6/20/2024,Owner-A2,TID-A324,950.7793351570278
6/21/2024,Owner-A2,TID-A324,938.6803947
6/22/2024,Owner-A2,TID-A324,934.7048037
6/23/2024,Owner-A2,TID-A324,930.0041914394926
6/16/2024,Owner-A3,TID-A324,914.2231280933165
6/26/2024,Owner-A3,TID-A324,910.9490882
6/27/2024,Owner-A3,TID-A324,907.1342536179743
6/2/2024,Owner-A2,TID-A324,896.8360383402329
6/17/2024,Owner-A3,TID-A324,896.7247352114084
6/23/2024,Owner-A3,TID-A324,895.2708226
6/3/2024,Owner-A2,TID-A324,894.3190910379625
6/5/2024,Owner-A2,TID-A324,894.0687575
6/18/2024,Owner-A3,TID-A324,892.7404747048457
6/7/2024,Owner-A2,TID-A324,891.9808776704517
6/28/2024,Owner-A3,TID-A324,891.9471834408115
6/1/2024,Owner-A2,TID-A324,890.2210341044921
6/4/2024,Owner-A2,TID-A324,884.6621205080218
6/24/2024,Owner-A3,TID-A324,882.9799180791465
6/19/2024,Owner-A3,TID-A324,882.9092729
6/18/2024,Owner-A2,TID-A324,881.8466706569286
6/6/2024,Owner-A2,TID-A324,875.9038006308224
6/25/2024,Owner-A3,TID-A324,875.5349850186932
6/17/2024,Owner-A2,TID-A324,874.8312272484841
6/16/2024,Owner-A2,TID-A324,869.6008755476533
6/29/2024,Owner-A3,TID-A324,867.8900517734862
6/2/2024,Owner-A4,TID-A324,866.2335982995972
6/30/2024,Owner-A3,TID-A324,864.7716139068768
6/20/2024,Owner-A3,TID-A324,860.6396109389392
6/22/2024,Owner-A3,TID-A324,860.6357107
6/21/2024,Owner-A3,TID-A324,860.1664289685799
6/14/2024,Owner-A2,TID-A324,859.8922131331774
6/15/2024,Owner-A2,TID-A324,859.1667035450438
6/10/2024,Owner-A2,TID-A324,850.7269060992636
6/1/2024,Owner-A4,TID-A324,850.4702777327038
6/8/2024,Owner-A2,TID-A324,843.8598986522309
6/5/2024,Owner-A4,TID-A324,842.7970918506759
6/3/2024,Owner-A4,TID-A324,838.5956896464616
6/9/2024,Owner-A2,TID-A324,836.4449346327627
6/4/2024,Owner-A4,TID-A324,829.1834579954686
6/11/2024,Owner-A2,TID-A324,825.0297886142224
6/6/2024,Owner-A4,TID-A324,824.0438578472227
6/13/2024,Owner-A2,TID-A324,817.5151308253313
6/7/2024,Owner-A4,TID-A324,810.9758476530105
6/12/2024,Owner-A2,TID-A324,808.6882963444106
6/8/2024,Owner-A4,TID-A324,801.3630355
6/9/2024,Owner-A4,TID-A324,797.5456509
6/10/2024,Owner-A4,TID-A324,791.8371534127778
6/29/2024,Owner-A4,TID-A324,791.3067143
6/28/2024,Owner-A4,TID-A324,790.8348595
6/15/2024,Owner-A4,TID-A324,789.5377563159316
6/30/2024,Owner-A4,TID-A324,787.9160409681385
6/27/2024,Owner-A4,TID-A324,786.8358614563739
6/14/2024,Owner-A4,TID-A324,776.7512374
6/15/2024,Owner-A3,TID-A324,775.8790825308814
6/23/2024,Owner-A4,TID-A324,766.3955974
6/11/2024,Owner-A4,TID-A324,766.3295273
6/16/2024,Owner-A4,TID-A324,763.6716498386298
6/22/2024,Owner-A4,TID-A324,759.8335318446561
6/24/2024,Owner-A4,TID-A324,758.0368370520487
6/21/2024,Owner-A4,TID-A324,757.4056257700527
6/26/2024,Owner-A4,TID-A324,756.2219551380784
6/17/2024,Owner-A4,TID-A324,752.3186599744469
6/13/2024,Owner-A4,TID-A324,748.1367631421641
6/12/2024,Owner-A4,TID-A324,746.2921270476215
6/18/2024,Owner-A4,TID-A324,738.6609798455793
6/25/2024,Owner-A4,TID-A324,737.9187353099186
6/3/2024,Owner-A3,TID-A324,729.5857416667083
6/20/2024,Owner-A4,TID-A324,718.7461616553521
6/19/2024,Owner-A4,TID-A324,711.6176291167342
6/30/2024,Owner-A5,TID-A324,708.8566596011565
6/28/2024,Owner-A5,TID-A324,704.4187388780989
6/16/2024,Owner-A5,TID-A324,703.9533686
6/29/2024,Owner-A5,TID-A324,702.3463105
6/18/2024,Owner-A5,TID-A324,698.1696713942412
6/24/2024,Owner-A5,TID-A324,697.7427836
6/26/2024,Owner-A5,TID-A324,693.7092255
6/17/2024,Owner-A5,TID-A324,692.0966495876985
6/27/2024,Owner-A5,TID-A324,684.5927094875656
6/15/2024,Owner-A5,TID-A324,681.8982517137621
6/23/2024,Owner-A5,TID-A324,677.7335326663101
6/2/2024,Owner-A3,TID-A324,675.2446184932461
6/19/2024,Owner-A5,TID-A324,674.6417822548032
6/25/2024,Owner-A5,TID-A324,674.5223445758662
6/20/2024,Owner-A5,TID-A324,670.3779468242809
6/1/2024,Owner-A3,TID-A324,668.3681839887824
6/2/2024,Owner-A5,TID-A324,666.4029435356938
6/5/2024,Owner-A5,TID-A324,666.2424754665678
6/3/2024,Owner-A5,TID-A324,665.4107028439612
6/21/2024,Owner-A5,TID-A324,664.2963208115153
6/1/2024,Owner-A5,TID-A324,662.9909975731815
6/22/2024,Owner-A5,TID-A324,662.7264461868111
6/7/2024,Owner-A5,TID-A324,658.9415591048701
6/8/2024,Owner-A5,TID-A324,657.2848687110578
6/4/2024,Owner-A3,TID-A324,654.2985793799421
6/14/2024,Owner-A5,TID-A324,648.5626286894678
6/10/2024,Owner-A5,TID-A324,646.3366432336085
6/6/2024,Owner-A5,TID-A324,643.7711642255977
6/12/2024,Owner-A5,TID-A324,638.8642061
6/4/2024,Owner-A5,TID-A324,638.7700284809347
6/3/2024,Owner-B1,TID-A125,638.7079695554792
6/9/2024,Owner-A5,TID-A324,638.7017736905818
6/11/2024,Owner-A5,TID-A324,638.6446288280736
6/5/2024,Owner-A3,TID-A324,629.9356150379174
6/12/2024,Owner-A3,TID-A324,626.8103737
6/13/2024,Owner-A5,TID-A324,621.5219600335324
6/13/2024,Owner-A3,TID-A324,615.0213162247279
6/14/2024,Owner-A3,TID-A324,612.8262343529473
6/6/2024,Owner-A3,TID-A324,612.7515684827902
6/7/2024,Owner-A3,TID-A324,604.5400407721196
6/8/2024,Owner-A3,TID-A324,579.8559076848198
6/10/2024,Owner-A3,TID-A324,563.9041961947853
6/9/2024,Owner-A3,TID-A324,560.7273288150128
6/11/2024,Owner-A3,TID-A324,549.9170035978652
6/27/2024,Owner-A2,TID-A127,505.77960949925796
6/15/2024,Owner-A2,TID-A127,498.39617445945134
6/26/2024,Owner-A2,TID-A127,496.84923630543875
6/28/2024,Owner-A2,TID-A127,496.69161243578776
6/25/2024,Owner-A2,TID-A127,495.52284630496166
6/11/2024,Owner-A2,TID-A127,495.2639089734466
6/17/2024,Owner-A2,TID-A127,495.08967888649823
6/7/2024,Owner-A2,TID-A127,494.6119614
6/18/2024,Owner-A2,TID-A127,494.1714620116935
6/20/2024,Owner-A2,TID-A127,491.7967693430841
6/6/2024,Owner-A2,TID-A127,491.6800096
6/21/2024,Owner-A2,TID-A127,491.37428134812575
6/24/2024,Owner-A2,TID-A127,491.2355022855577
6/5/2024,Owner-A2,TID-A127,490.92730396228217
6/12/2024,Owner-A2,TID-A127,490.90685189187593
6/13/2024,Owner-A2,TID-A127,490.7380092322555
6/10/2024,Owner-A2,TID-A127,489.90197650632166
6/19/2024,Owner-A2,TID-A127,489.6693271382934
6/14/2024,Owner-A2,TID-A127,489.40782373769935
6/4/2024,Owner-A2,TID-A127,488.95898135272296
6/22/2024,Owner-A2,TID-A127,487.93754819346447
6/8/2024,Owner-A2,TID-A127,487.6081197881667
6/16/2024,Owner-A2,TID-A127,487.28955750847956
6/23/2024,Owner-A2,TID-A127,486.7903980257977
6/9/2024,Owner-A2,TID-A127,485.5379973038968
6/3/2024,Owner-A2,TID-A127,484.89056003494494
6/1/2024,Owner-A2,TID-A127,483.38562379749044
6/2/2024,Owner-A2,TID-A127,477.63826723867925
6/30/2024,Owner-A2,TID-A127,476.4731225883194
6/3/2024,Owner-B1,TID-A324,468.64116679475285
6/29/2024,Owner-A2,TID-A127,468.50503979063666
6/2/2024,Owner-B2,TID-A324,447.7285235784044
6/1/2024,Owner-B2,TID-A324,446.6852416769441
6/3/2024,Owner-B2,TID-A324,444.9709201666012
6/11/2024,Owner-B2,TID-A324,442.47690151725305
6/24/2024,Owner-B2,TID-A324,437.7773937223941
6/4/2024,Owner-B2,TID-A324,436.669807
6/10/2024,Owner-B2,TID-A324,436.2948615015409
6/17/2024,Owner-B2,TID-A324,436.0018612824416
6/18/2024,Owner-B2,TID-A324,435.62033776939626
6/25/2024,Owner-B2,TID-A324,434.75106580535083
6/23/2024,Owner-B2,TID-A324,433.7289007860654
6/22/2024,Owner-B2,TID-A324,432.5707550689686
6/1/2024,Owner-C1,TID-A324,431.5714004398834
6/6/2024,Owner-B2,TID-A324,430.2600024077323
6/21/2024,Owner-B2,TID-A324,429.67679606335446
6/15/2024,Owner-B2,TID-A324,429.4846212217637
6/16/2024,Owner-B2,TID-A324,428.5204888
6/5/2024,Owner-B2,TID-A324,428.51581471012895
6/26/2024,Owner-B2,TID-A324,427.2374227396184
6/14/2024,Owner-B2,TID-A324,427.1200347
6/8/2024,Owner-B2,TID-A324,426.6235762185544
6/9/2024,Owner-B2,TID-A324,425.5958100270778
6/7/2024,Owner-B2,TID-A324,423.84227110560744
6/19/2024,Owner-B2,TID-A324,422.1970018334998
6/20/2024,Owner-B2,TID-A324,420.8445799539379
6/27/2024,Owner-B2,TID-A324,419.9184016048474
6/30/2024,Owner-B2,TID-A324,419.7661748
6/29/2024,Owner-B2,TID-A324,415.1435856319764
6/28/2024,Owner-B2,TID-A324,413.21723663758564
6/18/2024,Owner-B3,TID-A324,404.4526719615226
6/12/2024,Owner-B2,TID-A324,404.01573690907185
6/17/2024,Owner-B3,TID-A324,401.2697752382204
6/24/2024,Owner-B3,TID-A324,398.7204082388368
6/14/2024,Owner-B3,TID-A324,397.51550612289714
6/2/2024,Owner-C1,TID-A324,396.8576078
6/19/2024,Owner-B3,TID-A324,396.6664561366228
6/16/2024,Owner-B3,TID-A324,395.89421138684696
6/23/2024,Owner-B3,TID-A324,395.6945393893086
6/20/2024,Owner-B3,TID-A324,395.35914820171996
6/22/2024,Owner-B3,TID-A324,394.4830104066469
6/25/2024,Owner-B3,TID-A324,393.4281493919244
6/21/2024,Owner-B3,TID-A324,392.1870778552833
6/9/2024,Owner-B3,TID-A324,391.21352509731764
6/7/2024,Owner-B3,TID-A324,389.1287307547803
6/10/2024,Owner-B3,TID-A324,389.00943571991286
6/5/2024,Owner-B3,TID-A324,387.7800605515591
6/5/2024,Owner-C1,TID-A324,387.62137143718314
6/8/2024,Owner-B3,TID-A324,387.2917063936304
6/15/2024,Owner-B3,TID-A324,386.8309580433501
6/13/2024,Owner-B3,TID-A324,386.4517216392908
6/6/2024,Owner-C1,TID-A324,386.3369115670121
6/4/2024,Owner-B3,TID-A324,386.03159327252683
6/11/2024,Owner-B3,TID-A324,384.00607307898963
6/6/2024,Owner-B3,TID-A324,383.6398896896658
6/4/2024,Owner-C1,TID-A324,380.85031360357783
6/12/2024,Owner-B3,TID-A324,380.6644692770702
6/3/2024,Owner-C1,TID-A324,378.5713167
6/26/2024,Owner-B3,TID-A324,373.6091684350144
6/27/2024,Owner-B3,TID-A324,367.4501705441387
6/13/2024,Owner-B2,TID-A324,358.5649692994086
6/9/2024,Owner-C1,TID-A324,348.3758525096231
6/10/2024,Owner-C1,TID-A324,346.0098306057288
6/8/2024,Owner-C1,TID-A324,345.6994401945478
6/3/2024,Owner-B1,TID-A127,344.61939875088575
6/20/2024,Owner-C2,TID-A324,344.2429530370885
6/21/2024,Owner-C2,TID-A324,344.00962417376115
